x,y,u
1.562500000000000000e-02,7.343750000000000000e-01,3.818274828336085114e-02
1.562500000000000000e-02,7.500000000000000000e-01,5.030698080332740574e-17
1.562500000000000000e-02,7.656250000000000000e-01,-3.818274828336075399e-02
1.562500000000000000e-02,7.812500000000000000e-01,-7.489815496332397071e-02
1.562500000000000000e-02,7.968750000000000000e-01,-1.087352675514157985e-01
1.562500000000000000e-02,8.125000000000000000e-01,-1.383937447869473258e-01
1.562500000000000000e-02,8.281250000000000000e-01,-1.627338280224226441e-01
1.562500000000000000e-02,8.437500000000000000e-01,-1.808201415091784392e-01
1.562500000000000000e-02,8.593750000000000000e-01,-1.919576383628401606e-01
1.562500000000000000e-02,8.750000000000000000e-01,-1.957183108253017501e-01
1.562500000000000000e-02,8.906250000000000000e-01,-1.919576383628401883e-01
1.562500000000000000e-02,9.062500000000000000e-01,-1.808201415091784947e-01
1.562500000000000000e-02,9.218750000000000000e-01,-1.627338280224228106e-01
1.562500000000000000e-02,9.375000000000000000e-01,-1.383937447869474924e-01
1.562500000000000000e-02,9.531250000000000000e-01,-1.087352675514159789e-01
1.562500000000000000e-02,9.687500000000000000e-01,-7.489815496332409561e-02
1.562500000000000000e-02,9.843750000000000000e-01,-3.818274828336085114e-02
1.562500000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,1.562500000000000000e-02,7.489815496332392908e-02
3.125000000000000000e-02,3.125000000000000000e-02,1.469180158347765386e-01
3.125000000000000000e-02,4.687500000000000000e-02,2.132918997502711855e-01
3.125000000000000000e-02,6.250000000000000000e-02,2.714690955738382483e-01
3.125000000000000000e-02,7.812500000000000000e-02,3.192138862961255152e-01
3.125000000000000000e-02,9.375000000000000000e-02,3.546914663852623883e-01
3.125000000000000000e-02,1.093750000000000000e-01,3.765384523344796897e-01
3.125000000000000000e-02,1.250000000000000000e-01,3.839152767256798215e-01
3.125000000000000000e-02,1.406250000000000000e-01,3.765384523344797452e-01
3.125000000000000000e-02,1.562500000000000000e-01,3.546914663852625549e-01
3.125000000000000000e-02,1.718750000000000000e-01,3.192138862961255708e-01
3.125000000000000000e-02,1.875000000000000000e-01,2.714690955738383038e-01
3.125000000000000000e-02,2.031250000000000000e-01,2.132918997502711855e-01
3.125000000000000000e-02,2.187500000000000000e-01,1.469180158347765941e-01
3.125000000000000000e-02,2.343750000000000000e-01,7.489815496332405398e-02
3.125000000000000000e-02,2.500000000000000000e-01,1.249000902703301108e-16
3.125000000000000000e-02,2.656250000000000000e-01,-7.489815496332376255e-02
3.125000000000000000e-02,2.812500000000000000e-01,-1.469180158347763165e-01
3.125000000000000000e-02,2.968750000000000000e-01,-2.132918997502708802e-01
3.125000000000000000e-02,3.125000000000000000e-01,-2.714690955738379707e-01
3.125000000000000000e-02,3.281250000000000000e-01,-3.192138862961250712e-01
3.125000000000000000e-02,3.437500000000000000e-01,-3.546914663852621663e-01
3.125000000000000000e-02,3.593750000000000000e-01,-3.765384523344795786e-01
3.125000000000000000e-02,3.750000000000000000e-01,-3.839152767256797660e-01
3.125000000000000000e-02,3.906250000000000000e-01,-3.765384523344798007e-01
3.125000000000000000e-02,4.062500000000000000e-01,-3.546914663852626104e-01
3.125000000000000000e-02,4.218750000000000000e-01,-3.192138862961255708e-01
3.125000000000000000e-02,4.375000000000000000e-01,-2.714690955738382483e-01
3.125000000000000000e-02,4.531250000000000000e-01,-2.132918997502711300e-01
3.125000000000000000e-02,4.687500000000000000e-01,-1.469180158347765386e-01
3.125000000000000000e-02,4.843750000000000000e-01,-7.489815496332394296e-02
3.125000000000000000e-02,5.000000000000000000e-01,2.775557561562891351e-17
3.125000000000000000e-02,5.156250000000000000e-01,7.489815496332398459e-02
3.125000000000000000e-02,5.312500000000000000e-01,1.469180158347766219e-01
3.125000000000000000e-02,5.468750000000000000e-01,2.132918997502713798e-01
3.125000000000000000e-02,5.625000000000000000e-01,2.714690955738386369e-01
3.125000000000000000e-02,5.781250000000000000e-01,3.192138862961258483e-01
3.125000000000000000e-02,5.937500000000000000e-01,3.546914663852628324e-01
3.125000000000000000e-02,6.093750000000000000e-01,3.765384523344802448e-01
3.125000000000000000e-02,6.250000000000000000e-01,3.839152767256804322e-01
3.125000000000000000e-02,6.406250000000000000e-01,3.765384523344803558e-01
3.125000000000000000e-02,6.562500000000000000e-01,3.546914663852629435e-01
3.125000000000000000e-02,6.718750000000000000e-01,3.192138862961258483e-01
3.125000000000000000e-02,6.875000000000000000e-01,2.714690955738385258e-01
3.125000000000000000e-02,7.031250000000000000e-01,2.132918997502714353e-01
3.125000000000000000e-02,7.187500000000000000e-01,1.469180158347767606e-01
3.125000000000000000e-02,7.343750000000000000e-01,7.489815496332408173e-02
3.125000000000000000e-02,7.500000000000000000e-01,1.012644829101461141e-16
3.125000000000000000e-02,7.656250000000000000e-01,-7.489815496332387357e-02
3.125000000000000000e-02,7.812500000000000000e-01,-1.469180158347765941e-01
3.125000000000000000e-02,7.968750000000000000e-01,-2.132918997502713521e-01
3.125000000000000000e-02,8.125000000000000000e-01,-2.714690955738384703e-01
3.125000000000000000e-02,8.281250000000000000e-01,-3.192138862961257928e-01
3.125000000000000000e-02,8.437500000000000000e-01,-3.546914663852628324e-01
3.125000000000000000e-02,8.593750000000000000e-01,-3.765384523344801893e-01
3.125000000000000000e-02,8.750000000000000000e-01,-3.839152767256803767e-01
3.125000000000000000e-02,8.906250000000000000e-01,-3.765384523344802448e-01
